customer_id,age,annual_income,tenure_months,monthly_spend,orders_last_12_months,satisfaction_score,complaints_last_year,support_calls,discount_pct,region,customer_segment,payment_method
CUST10158,44.0,189838.34,49.4,126.98,6,6.9,4.0,4,5.6,Port Harcourt,Family,USSD
CUST10159,24.0,94377.64,3.8,61.58,14,6.7,,4,24.8,Lagos,Business,Card
CUST10160,46.0,46001.59,9.3,129.42,9,,2.0,3,17.4,Kano,Business,Bank Transfer
CUST10161,26.0,13910.72,1.0,108.38,7,7.5,2.0,4,16.3,Abuja,Professional,Card
CUST10162,47.0,193901.75,10.4,79.92,8,5.8,0.0,5,23.5,Port Harcourt,Professional,Cash
CUST10163,52.0,25612.19,44.5,116.95,8,9.6,1.0,3,13.9,Abuja,Family,USSD
CUST10164,28.0,,21.9,59.09,12,6.9,1.0,3,18.2,Lagos,Professional,USSD
CUST10165,50.0,96519.68,12.8,,10,6.6,3.0,2,13.0,Lagos,Student,Cash
CUST10166,43.0,210439.25,13.9,70.9,11,,0.0,3,17.0,Lagos,Professional,Cash
CUST10167,48.0,117764.07,1.0,71.86,9,7.0,3.0,4,19.0,Port Harcourt,Business,Bank Transfer
CUST10168,61.0,74999.63,10.7,59.44,5,10.0,0.0,2,18.4,Ibadan,Student,Cash
CUST10169,35.0,76282.84,31.2,118.07,6,6.6,2.0,7,2.9,Lagos,Family,Cash
CUST10170,29.0,87945.01,109.7,87.31,8,7.6,2.0,4,9.5,Lagos,Business,Cash
CUST10171,27.0,83491.42,56.3,98.32,6,5.7,2.0,2,19.0,Abuja,Family,USSD
CUST10172,28.0,64199.05,1.0,70.82,10,8.6,1.0,2,15.0,Kano,Family,Cash
CUST10173,37.0,58244.16,68.6,44.98,10,7.6,0.0,1,11.7,Lagos,Family,Card
CUST10174,42.0,53138.78,45.9,95.42,7,6.4,4.0,2,15.0,Lagos,Professional,Card
CUST10175,41.0,36330.32,45.5,40.83,8,5.4,0.0,3,5.4,Lagos,Student,USSD
CUST10176,48.0,47132.46,18.4,,12,4.6,2.0,6,16.7,Abuja,Business,Bank Transfer
CUST10177,38.0,21676.03,15.2,52.01,8,7.8,0.0,5,14.2,Lagos,Professional,Bank Transfer
CUST10178,55.0,52104.24,10.8,135.55,8,4.5,0.0,3,12.5,Abuja,Family,USSD
CUST10179,35.0,31931.98,2.0,107.95,12,9.4,4.0,2,10.9,Kano,Family,Card
CUST10180,71.0,29974.86,7.8,88.27,5,4.7,2.0,4,13.4,Port Harcourt,Student,USSD
CUST10181,46.0,60720.11,8.5,117.27,6,6.7,1.0,2,10.4,Lagos,Business,Cash
CUST10182,28.0,118265.78,19.9,65.43,9,5.4,1.0,3,10.1,Port Harcourt,Family,USSD
CUST10183,25.0,91140.96,41.3,101.89,8,7.1,1.0,4,22.7,Abuja,Student,Bank Transfer
CUST10184,44.0,23186.21,19.3,91.54,13,7.0,0.0,1,2.5,Ibadan,Business,Card
CUST10185,35.0,31913.77,1.8,91.74,5,7.8,3.0,9,2.6,Lagos,Family,Bank Transfer
CUST10186,47.0,92273.53,95.0,124.41,8,4.3,0.0,4,16.7,Kano,Professional,Bank Transfer
CUST10187,44.0,32039.36,85.8,110.18,4,5.6,0.0,3,4.7,Kano,Family,Card
CUST10188,37.0,48607.85,46.1,95.91,3,8.7,2.0,3,0.0,Lagos,Student,Cash
CUST10189,28.0,74430.2,120.0,53.23,13,8.2,4.0,2,18.1,Ibadan,Family,Card
CUST10190,20.0,32289.55,23.6,62.89,6,2.5,1.0,2,19.6,Abuja,Student,Card
CUST10191,33.0,58281.79,98.7,89.83,7,7.7,1.0,4,4.2,Port Harcourt,Family,USSD
CUST10192,48.0,26406.74,2.4,87.52,10,5.1,,2,1.2,Lagos,Family,Card
CUST10193,41.0,39511.07,13.7,57.84,7,5.9,0.0,2,4.7,Lagos,Business,USSD
CUST10194,23.0,65576.23,7.7,145.9,8,6.6,3.0,2,7.8,Port Harcourt,Family,Bank Transfer
CUST10195,40.0,,6.5,123.43,8,9.8,0.0,3,23.5,Lagos,Professional,Card
CUST10196,43.0,70076.98,4.6,100.42,7,5.1,1.0,2,9.4,Abuja,Business,Cash
CUST10197,27.0,54409.15,29.2,89.14,8,4.5,2.0,3,17.0,Abuja,Family,USSD
CUST10198,40.0,74530.07,45.6,83.34,8,7.8,2.0,3,16.3,Port Harcourt,Family,USSD
CUST10199,,62208.15,25.9,63.27,9,6.9,1.0,3,19.9,Abuja,Student,Cash
CUST10200,24.0,116467.29,4.8,87.32,6,9.2,,3,8.2,Lagos,Business,USSD
CUST10201,42.0,58921.54,50.0,95.44,8,6.4,3.0,4,11.9,Port Harcourt,Business,USSD
CUST10202,45.0,43430.42,30.3,56.38,11,9.2,2.0,6,10.7,Abuja,Family,Cash
CUST10203,51.0,58826.76,14.7,94.53,12,7.0,2.0,2,15.2,Abuja,Business,Bank Transfer
CUST10204,51.0,74154.23,33.6,83.81,7,8.0,3.0,3,19.3,Lagos,Professional,Card
CUST10205,21.0,56498.06,9.0,38.03,9,9.9,3.0,5,25.1,Lagos,Business,Card
CUST10206,27.0,56241.71,12.7,64.51,6,6.7,1.0,1,9.7,Lagos,Professional,Card
CUST10207,44.0,37383.81,74.8,80.65,9,8.9,3.0,4,12.8,Ibadan,Student,Card
CUST10208,44.0,38196.26,10.3,133.02,5,5.9,1.0,3,17.2,Abuja,Family,Card
CUST10209,44.0,25429.26,19.0,100.44,13,7.4,3.0,6,15.7,Lagos,Family,Card
CUST10210,75.0,143969.34,66.3,56.91,12,4.4,1.0,3,22.3,Lagos,Professional,USSD
CUST10211,45.0,27749.24,36.9,100.1,8,6.1,3.0,1,11.4,Lagos,Student,Card
CUST10212,52.0,37571.11,1.9,46.47,8,5.1,2.0,4,9.6,Port Harcourt,Professional,USSD
CUST10213,49.0,,4.8,112.45,5,9.2,3.0,3,20.3,Lagos,Professional,Cash
CUST10214,,89975.88,1.0,73.3,9,10.0,0.0,2,13.8,Abuja,Student,Bank Transfer
CUST10215,34.0,46763.87,29.9,85.05,3,6.4,0.0,4,15.2,Abuja,Professional,USSD
CUST10216,47.0,109244.81,17.8,119.57,8,5.6,1.0,6,11.6,Kano,Professional,Bank Transfer
CUST10217,29.0,37974.44,4.3,53.17,10,4.6,1.0,3,17.6,Abuja,Business,Cash
CUST10218,35.0,64121.52,95.1,57.68,8,7.5,1.0,6,6.8,Abuja,Family,Card
CUST10219,32.0,34740.02,22.6,72.22,13,5.9,2.0,5,9.3,Kano,Professional,Bank Transfer
CUST10220,39.0,178960.52,8.3,111.62,3,6.0,1.0,2,0.0,Abuja,Business,Bank Transfer
CUST10221,66.0,28621.38,20.8,48.68,9,9.9,1.0,4,8.2,Kano,Family,Cash
CUST10222,18.0,65217.94,34.1,20.0,4,6.5,3.0,1,17.6,Port Harcourt,Professional,Cash
CUST10223,46.0,77937.75,2.4,,12,8.1,1.0,4,12.3,Abuja,Professional,Cash
CUST10224,19.0,69056.34,9.6,99.56,8,7.1,2.0,1,6.5,Abuja,Professional,USSD
CUST10225,32.0,49671.18,49.3,118.95,6,4.6,3.0,2,20.6,Ibadan,Professional,USSD
CUST10226,51.0,,18.5,74.9,8,3.7,2.0,5,12.8,Port Harcourt,Professional,Bank Transfer
CUST10227,39.0,56341.39,23.7,76.61,8,7.9,1.0,1,22.2,Ibadan,Professional,Cash
CUST10228,25.0,50728.21,17.0,115.21,7,10.0,0.0,4,17.1,Lagos,Professional,Bank Transfer
CUST10229,29.0,93453.75,1.3,38.36,9,7.6,4.0,1,13.1,Abuja,Family,Card
CUST10230,46.0,185512.23,5.4,75.72,9,8.1,1.0,3,23.0,Ibadan,Professional,Cash
CUST10231,29.0,40476.14,17.7,91.18,6,5.4,0.0,2,9.8,Abuja,Family,USSD
CUST10232,41.0,25892.19,7.0,96.79,5,8.8,2.0,4,5.4,Ibadan,Family,Cash
CUST10233,39.0,52393.27,1.5,72.38,7,8.8,1.0,3,21.6,Lagos,Business,Bank Transfer
CUST10234,30.0,227277.86,55.7,90.31,8,5.7,3.0,5,15.6,Ibadan,Professional,USSD
CUST10235,64.0,35350.49,119.2,32.33,8,8.0,1.0,6,20.4,Abuja,Business,Card
CUST10236,46.0,135483.17,47.3,72.33,7,3.8,1.0,4,17.3,Lagos,Business,Card
CUST10237,18.0,138389.01,57.7,100.95,8,8.3,0.0,5,21.9,Ibadan,Family,Bank Transfer
CUST10238,40.0,40563.14,8.3,61.11,5,6.0,1.0,7,8.9,Lagos,Family,Cash
CUST10239,30.0,75209.22,97.0,94.24,12,4.8,0.0,2,10.9,Lagos,Student,Card
CUST10240,,134686.7,6.6,96.7,7,7.7,2.0,4,10.8,Lagos,Business,Bank Transfer
CUST10241,28.0,44648.15,90.7,83.7,10,3.8,1.0,6,10.9,Port Harcourt,Student,USSD
CUST10242,37.0,49173.95,120.0,98.86,5,7.6,1.0,3,2.6,Ibadan,Family,USSD
CUST10243,44.0,39941.21,37.3,63.92,8,5.0,1.0,7,13.0,Lagos,Professional,Bank Transfer
CUST10244,48.0,31475.74,119.1,89.36,6,4.6,2.0,6,16.7,Abuja,Professional,Cash
CUST10245,24.0,38483.54,25.3,102.28,6,7.1,1.0,3,7.9,Lagos,Family,Cash
CUST10246,34.0,28054.98,9.0,89.65,11,6.7,1.0,1,6.5,Kano,Business,Cash
CUST10247,32.0,56040.75,17.2,71.72,10,9.6,1.0,2,11.2,Lagos,Professional,Cash
CUST10248,30.0,36011.84,27.0,92.77,9,4.7,2.0,4,16.7,Lagos,Business,Bank Transfer
CUST10249,59.0,62546.82,2.3,103.05,9,9.5,0.0,4,5.5,Lagos,Family,Bank Transfer
CUST10250,43.0,186985.7,29.2,,9,5.0,3.0,5,26.0,Port Harcourt,Student,USSD
CUST10251,23.0,65977.73,119.2,123.51,5,8.7,1.0,4,4.2,Ibadan,Professional,USSD
CUST10252,49.0,86988.34,6.3,77.1,11,9.0,1.0,4,8.6,Abuja,Family,Cash
CUST10253,63.0,18371.1,47.2,99.41,7,7.6,1.0,2,18.8,Lagos,Student,Card
CUST10254,50.0,67563.26,71.5,120.65,6,5.6,3.0,6,17.8,Port Harcourt,Professional,Card
CUST10255,20.0,108045.36,86.3,57.61,5,4.3,3.0,1,17.3,Kano,Student,USSD
CUST10256,32.0,28276.49,96.7,75.0,10,3.5,0.0,1,7.9,Lagos,Professional,USSD
CUST10257,53.0,,22.1,,8,10.0,0.0,7,9.0,Lagos,Family,Bank Transfer
CUST10258,30.0,69254.88,113.6,,10,6.5,2.0,3,6.9,Lagos,Professional,USSD
CUST10259,43.0,37321.76,42.5,131.77,9,5.0,,3,10.1,Kano,Student,USSD
CUST10260,47.0,,5.3,,10,4.9,1.0,1,14.3,Port Harcourt,Professional,Cash
CUST10261,27.0,74769.72,19.4,72.67,9,7.3,0.0,2,6.8,Port Harcourt,Professional,Card
CUST10262,37.0,57347.9,38.0,93.15,9,,0.0,1,1.5,Lagos,Student,Card
CUST10263,18.0,73969.21,8.5,55.63,11,3.5,1.0,1,19.0,Abuja,Family,Bank Transfer
CUST10264,26.0,33147.35,30.7,77.56,10,8.6,0.0,2,10.9,Ibadan,Family,Card
CUST10265,35.0,60369.36,33.0,,7,7.6,0.0,3,16.5,Lagos,Student,Cash
CUST10266,23.0,25274.35,5.3,77.1,9,10.0,0.0,2,10.1,Ibadan,Professional,Cash
CUST10267,58.0,51736.26,25.0,84.66,9,9.1,2.0,7,15.3,Port Harcourt,Professional,Bank Transfer
